갈래,업체명,권역,시도,업체명,허가현황,자료출처
수집·운반,용현산업,경상권역,경상남도,용현산업,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,제이엠에너지,경상권역,경상남도,제이엠에너지,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,주식회사 나라환경,경상권역,경상남도,주식회사 나라환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,주식회사 이알엠,경상권역,경상남도,주식회사 이알엠,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,주식회사 제일자원(운반),경상권역,경상남도,주식회사 제일자원(운반),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,청해티엔에스,경상권역,경상남도,청해티엔에스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,청호이엔지,경상권역,경상남도,청호이엔지,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,태경환경(함안),경상권역,경상남도,태경환경(함안),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,하나환경 주식회사,경상권역,경상남도,하나환경 주식회사,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,한솔환경산업(주),경상권역,경상남도,한솔환경산업(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,한스틸,경상권역,경상남도,한스틸,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,현대케미칼,경상권역,경상남도,현대케미칼,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)서원이엔티,경상권역,경상북도,(주)서원이엔티,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)안석개발(운반자),경상권역,경상북도,(주)안석개발(운반자),수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)에스에이치로지스-,경상권역,경상북도,(주)에스에이치로지스-,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)유진씨엔디,경상권역,경상북도,(주)유진씨엔디,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)자연환경,경상권역,경상북도,(주)자연환경,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)중앙환경산업,경상권역,경상북도,(주)중앙환경산업,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,"(주)태흥환경개발(운,처리자)",경상권역,경상북도,"(주)태흥환경개발(운,처리자)",수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)티케이케미칼수지공장,경상권역,경상북도,(주)티케이케미칼수지공장,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 중간처분업 · 처리방법 기타 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,경북환경에너지주식회사,경상권역,경상북도,경북환경에너지주식회사,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 중간처분업 · 처리방법 소각 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,금오 리싸이클,경상권역,경상북도,금오 리싸이클,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,금오환경개발,경상권역,경상북도,금오환경개발,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,대금환경,경상권역,경상북도,대금환경,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,성진환경(운반),경상권역,경상북도,성진환경(운반),수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,에이치에스씨케미칼,경상권역,경상북도,에이치에스씨케미칼,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,주은산업(주)-지정,경상권역,경상북도,주은산업(주)-지정,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,한일정유(주)(운반),경상권역,경상북도,한일정유(주)(운반),수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,현대환경(주),경상권역,경상북도,현대환경(주),수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,홍익산업,경상권역,경상북도,홍익산업,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)녹색환경산업사,경상권역,대구광역시,(주)녹색환경산업사,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)환경코리아,경상권역,대구광역시,(주)환경코리아,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청 / 중간처분업 · 처리방법 기타 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,대경환경,경상권역,대구광역시,대경환경,수집·운반업 · 처리방법 수집·운반 · 대구지방환경청,14 폐기물처리업체 전국취합
수집·운반,(주)동아유화,경상권역,부산광역시,(주)동아유화,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)매일환경,경상권역,부산광역시,(주)매일환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)명진로지스,경상권역,부산광역시,(주)명진로지스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)미천환경,경상권역,부산광역시,(주)미천환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)세원씨오,경상권역,부산광역시,(주)세원씨오,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)세환건영,경상권역,부산광역시,(주)세환건영,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)오션클린서비스,경상권역,부산광역시,(주)오션클린서비스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)용호환경,경상권역,부산광역시,(주)용호환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)은성이엔씨,경상권역,부산광역시,(주)은성이엔씨,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)지오환경(강서구),경상권역,부산광역시,(주)지오환경(강서구),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 종합 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,(주)티아이맥,경상권역,부산광역시,(주)티아이맥,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,동건환경,경상권역,부산광역시,동건환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,명성통운(주),경상권역,부산광역시,명성통운(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,신세기기업(주),경상권역,부산광역시,신세기기업(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,우봉이엔티,경상권역,부산광역시,우봉이엔티,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,유담환경,경상권역,부산광역시,유담환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,육육로지스틱스(주),경상권역,부산광역시,육육로지스틱스(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,지테크환경주식회사,경상권역,부산광역시,지테크환경주식회사,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,태봉산업(주)(운반자),경상권역,부산광역시,태봉산업(주)(운반자),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,한국특수환경,경상권역,부산광역시,한국특수환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,한성산업,경상권역,부산광역시,한성산업,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,한울로지스틱스,경상권역,부산광역시,한울로지스틱스,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,현대실업,경상권역,부산광역시,현대실업,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,흥한환경개발(주),경상권역,부산광역시,흥한환경개발(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
